date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:50	121991/121991	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2006:43:43%20GMT	https://www.uscomicversand.de/neu-ausgepackt/index.htm	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/index.html	(from )
15:20:52	70/70	---M-Z	200	added ('OK')	text/plain	date:Sat,%2008%20Aug%202020%2000:57:02%20GMT	https://www.uscomicversand.de/robots.txt		(from )
15:20:52	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:52%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-57x57.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-57x57.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
15:20:53	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:53%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-60x60.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-60x60.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
15:20:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:54%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-72x72.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-72x72.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
15:20:55	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:55%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-76x76.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-76x76.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
15:20:56	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:56%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-114x114.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-114x114.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
15:20:57	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:57%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-120x120.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-120x120.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
15:20:58	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:58%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-144x144.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-144x144.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
15:20:59	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2014:20:59%20GMT	https://www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-152x152.png	httrack_www.uscomicversand.de/www.uscomicversand.de/neu-ausgepackt/media/favicon/apple-icon-152x152.png	(from https://www.uscomicversand.de/neu-ausgepackt/index.htm)
